Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C2, C24, C43, C5, C7, C8, C9",C0805,9,CL21A106KAYNNNE,C15850
"C10, C17, C20, C21, C22, C23, C27, C28, C29, C30, C31, C37, C42",0201,13,CL10A105KB8NNNC,C14663
"C12, C13, C14, C25, C3, C4, C6",C0805,7,CL21A226MAYNNNE,C602037
"C15, C16, C26, C38, C39, C40, C41",0201,7,CL10A105KB8NNNC,C15849
"C18, C19",0805,2,CL21A226MAYNNNE,C602037
C32,C0603,1,CL10A225KO8NNNC,C23630
"C33, C34",C0603,2,CL10C200JB8NNNC,C1648
"C35, C36",C0603,2,0603CG6R8C500NT,C1679
CARD1,TF-SMD_TF-01A,1,TF-01A,C91145
"H1, H2",HDR-TH_3P-P2.54-V-M-1,2,HX PH254-01-03-Z-L11.5 PCB PIN HEADER,C52016391
"L1, L2",1008,2,1.5uH,
L3,L_Changjiang_FXL0630,1,5.6uH,
L4,L0603,1,FCM1608KF-601T03,C141723
LED1,LED0603-FD,1,YLED0603R,C19171390
"R1, R2",R0603,2,FRC0603F5101TS,C2907044
R10,0402,1,383,
"R12, R13, R24, R25, R26, R27, R28, R29, R3, R30, R4, R5, R7",R0603,13,RC0603FR-0710KL,C98220
"R14, R8",0201,2,100K,
R15,0201,1,22K,
"R16, R17, R18, R19, R31, R32, R6",R0805,7,0805W8F2201T5E,C17520
"SW1, SW2",SW-SMD_L3.9-W3.0-P4.45,2,TS-1088-AR02016,C720477
U1,VQFN-HR-15_L3.0-W2.5-P0.50-BL_TPS63070RNMR,1,TPS63070RNMR,C109322
U2,WQFN-24_L4.0-W4.0-P0.50-TL-EP2.7,1,BQ25895MRTWR,C485917
"U3, U8",LGA-10_L2.0-W2.0-P0.50-TL_BMP581,2,BMP581,C5362283
U5,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,1,LMR51430XDDCR,C5185863
U6,LQFP-64_L10.0-W10.0-P0.50-LS12.0-BL,1,STM32F722RET6,C118207
U7,CONN-TH_DB301V-3.5-2P-GN,1,DB301V-3.5-2P-GN,C695629
U9,LGA-14_L3.0-W2.5-P0.50-TL,1,ICM-42688-P,C1850418
USB1,USB-C-SMD_TYPE-C-6PIN-2MD-073,1,TYPE-C 16PIN 2MD(073),C2765186
X1,CRYSTAL-SMD_4P-L3.2-W2.5-BL,1,X322525MOB4SI,C9006
X2,FC-135R_L3.2-W1.5,1,Q13FC1350000400,C32346
